interaction_record_id,plant_name,rank,mapped_count,mapped_ids,weight,action
MOT_PLANT_0057,Juniperus ashei / Juniperus spp.,species_or_genus,2,PLT0260|PLT0261,0.315,direct_import_species_review
MOT_PLANT_0058,Juniperus ashei / Juniperus spp.,species_or_genus,2,PLT0260|PLT0261,0.315,direct_import_species_review
MOT_PLANT_0059,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0060,Cyperaceae / Carex-Cyperus-Eleocharis spp.,family/genus_group,1,CAND1357,0.165,import_functional_group
MOT_PLANT_0061,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0062,Andropogon / Schizachyrium spp.,genus_group,1,CAND0279,0.21,import_functional_group
MOT_PLANT_0063,Prosopis glandulosa,species,1,CAND3512,0.562,direct_import_species
MOT_PLANT_0064,Prosopis glandulosa,species,1,CAND3512,0.562,direct_import_species
MOT_PLANT_0065,Opuntia engelmannii complex,species_complex,2,PLT0238|CAND3022,0.375,direct_import_species_review
MOT_PLANT_0066,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
MOT_PLANT_0067,Ilex vomitoria,species,1,PLT0214,0.488,direct_import_species
MOT_PLANT_0068,Quercus spp.,genus,7,PLT0280|PLT0275|PLT0277|PLT0274|PLT0276|PLT0278|PLT0279,0.183,import_genus_or_review_species
MOT_PLANT_0069,Celtis spp.,genus,1,PLT0183,0.234,import_genus_or_review_species
MOT_PLANT_0070,Morus spp. / Callicarpa americana,common_name_conflict,3,PLT0265|PLT0264|PLT0182,0.078,hold_review_common_name
MOT_PLANT_0071,Smilax spp.,genus,1,CAND4295,0.234,import_genus_or_review_species
MOT_PLANT_0072,Nekemias arborea,species,1,CAND2918,0.488,direct_import_species
MOT_PLANT_0073,Berchemia scandens,species,1,CAND0581,0.488,direct_import_species_review
MOT_PLANT_0074,Poaceae,family/functional_group,1,CAND3417,0.12,import_functional_group
